LINEAGE	WHO_LABEL	CONTRIBUTING_LINEAGES	COLOR	variant_category
B.1.1.7	Alpha	B.1.1.7	#F1CE33	VOC
B.1.1.7	Alpha	Q.1	#F1CE33	VOC
B.1.1.7	Alpha	Q.2	#F1CE33	VOC
B.1.1.7	Alpha	Q.3	#F1CE33	VOC
B.1.1.7	Alpha	Q.4	#F1CE33	VOC
B.1.1.7	Alpha	Q.5	#F1CE33	VOC
B.1.1.7	Alpha	Q.6	#F1CE33	VOC
B.1.1.7	Alpha	Q.7	#F1CE33	VOC
B.1.1.7	Alpha	Q.8	#F1CE33	VOC
B.1.351	Beta	B.1.351	#F1CE64	VOC
B.1.351	Beta	B.1.351.1	#F1CE64	VOC
B.1.351	Beta	B.1.351.2	#F1CE64	VOC
B.1.351	Beta	B.1.351.3	#F1CE64	VOC
B.1.351	Beta	B.1.351.5	#F1CE64	VOC
B.1.617.2	Delta	AY.1	#F1CE98	VOC
B.1.617.2	Delta	AY.10	#F1CE98	VOC
B.1.617.2	Delta	AY.100	#F1CE98	VOC
B.1.617.2	Delta	AY.101	#F1CE98	VOC
B.1.617.2	Delta	AY.102	#F1CE98	VOC
B.1.617.2	Delta	AY.102.1	#F1CE98	VOC
B.1.617.2	Delta	AY.102.2	#F1CE98	VOC
B.1.617.2	Delta	AY.103	#F1CE98	VOC
B.1.617.2	Delta	AY.103.1	#F1CE98	VOC
B.1.617.2	Delta	AY.103.2	#F1CE98	VOC
B.1.617.2	Delta	AY.104	#F1CE98	VOC
B.1.617.2	Delta	AY.105	#F1CE98	VOC
B.1.617.2	Delta	AY.106	#F1CE98	VOC
B.1.617.2	Delta	AY.107	#F1CE98	VOC
B.1.617.2	Delta	AY.108	#F1CE98	VOC
B.1.617.2	Delta	AY.109	#F1CE98	VOC
B.1.617.2	Delta	AY.11	#F1CE98	VOC
B.1.617.2	Delta	AY.110	#F1CE98	VOC
B.1.617.2	Delta	AY.111	#F1CE98	VOC
B.1.617.2	Delta	AY.112	#F1CE98	VOC
B.1.617.2	Delta	AY.112.1	#F1CE98	VOC
B.1.617.2	Delta	AY.112.2	#F1CE98	VOC
B.1.617.2	Delta	AY.112.3	#F1CE98	VOC
B.1.617.2	Delta	AY.113	#F1CE98	VOC
B.1.617.2	Delta	AY.114	#F1CE98	VOC
B.1.617.2	Delta	AY.116	#F1CE98	VOC
B.1.617.2	Delta	AY.116.1	#F1CE98	VOC
B.1.617.2	Delta	AY.117	#F1CE98	VOC
B.1.617.2	Delta	AY.118	#F1CE98	VOC
B.1.617.2	Delta	AY.119	#F1CE98	VOC
B.1.617.2	Delta	AY.119.1	#F1CE98	VOC
B.1.617.2	Delta	AY.119.2	#F1CE98	VOC
B.1.617.2	Delta	AY.120	#F1CE98	VOC
B.1.617.2	Delta	AY.120.1	#F1CE98	VOC
B.1.617.2	Delta	AY.120.2	#F1CE98	VOC
B.1.617.2	Delta	AY.120.2.1	#F1CE98	VOC
B.1.617.2	Delta	AY.121	#F1CE98	VOC
B.1.617.2	Delta	AY.121.1	#F1CE98	VOC
B.1.617.2	Delta	AY.122	#F1CE98	VOC
B.1.617.2	Delta	AY.122.1	#F1CE98	VOC
B.1.617.2	Delta	AY.122.2	#F1CE98	VOC
B.1.617.2	Delta	AY.122.3	#F1CE98	VOC
B.1.617.2	Delta	AY.122.4	#F1CE98	VOC
B.1.617.2	Delta	AY.122.5	#F1CE98	VOC
B.1.617.2	Delta	AY.122.6	#F1CE98	VOC
B.1.617.2	Delta	AY.123	#F1CE98	VOC
B.1.617.2	Delta	AY.123.1	#F1CE98	VOC
B.1.617.2	Delta	AY.124	#F1CE98	VOC
B.1.617.2	Delta	AY.124.1	#F1CE98	VOC
B.1.617.2	Delta	AY.124.1.1	#F1CE98	VOC
B.1.617.2	Delta	AY.125	#F1CE98	VOC
B.1.617.2	Delta	AY.125.1	#F1CE98	VOC
B.1.617.2	Delta	AY.126	#F1CE98	VOC
B.1.617.2	Delta	AY.127	#F1CE98	VOC
B.1.617.2	Delta	AY.127.1	#F1CE98	VOC
B.1.617.2	Delta	AY.127.2	#F1CE98	VOC
B.1.617.2	Delta	AY.127.3	#F1CE98	VOC
B.1.617.2	Delta	AY.128	#F1CE98	VOC
B.1.617.2	Delta	AY.129	#F1CE98	VOC
B.1.617.2	Delta	AY.13	#F1CE98	VOC
B.1.617.2	Delta	AY.130	#F1CE98	VOC
B.1.617.2	Delta	AY.131	#F1CE98	VOC
B.1.617.2	Delta	AY.132	#F1CE98	VOC
B.1.617.2	Delta	AY.133	#F1CE98	VOC
B.1.617.2	Delta	AY.134	#F1CE98	VOC
B.1.617.2	Delta	AY.14	#F1CE98	VOC
B.1.617.2	Delta	AY.15	#F1CE98	VOC
B.1.617.2	Delta	AY.16	#F1CE98	VOC
B.1.617.2	Delta	AY.16.1	#F1CE98	VOC
B.1.617.2	Delta	AY.17	#F1CE98	VOC
B.1.617.2	Delta	AY.18	#F1CE98	VOC
B.1.617.2	Delta	AY.19	#F1CE98	VOC
B.1.617.2	Delta	AY.2	#F1CE98	VOC
B.1.617.2	Delta	AY.20	#F1CE98	VOC
B.1.617.2	Delta	AY.20.1	#F1CE98	VOC
B.1.617.2	Delta	AY.21	#F1CE98	VOC
B.1.617.2	Delta	AY.22	#F1CE98	VOC
B.1.617.2	Delta	AY.23	#F1CE98	VOC
B.1.617.2	Delta	AY.23.1	#F1CE98	VOC
B.1.617.2	Delta	AY.23.2	#F1CE98	VOC
B.1.617.2	Delta	AY.24	#F1CE98	VOC
B.1.617.2	Delta	AY.24.1	#F1CE98	VOC
B.1.617.2	Delta	AY.25	#F1CE98	VOC
B.1.617.2	Delta	AY.25.1	#F1CE98	VOC
B.1.617.2	Delta	AY.25.1.1	#F1CE98	VOC
B.1.617.2	Delta	AY.25.1.2	#F1CE98	VOC
B.1.617.2	Delta	AY.25.2	#F1CE98	VOC
B.1.617.2	Delta	AY.25.3	#F1CE98	VOC
B.1.617.2	Delta	AY.26	#F1CE98	VOC
B.1.617.2	Delta	AY.26.1	#F1CE98	VOC
B.1.617.2	Delta	AY.27	#F1CE98	VOC
B.1.617.2	Delta	AY.28	#F1CE98	VOC
B.1.617.2	Delta	AY.29	#F1CE98	VOC
B.1.617.2	Delta	AY.29.1	#F1CE98	VOC
B.1.617.2	Delta	AY.29.2	#F1CE98	VOC
B.1.617.2	Delta	AY.3	#F1CE98	VOC
B.1.617.2	Delta	AY.3.1	#F1CE98	VOC
B.1.617.2	Delta	AY.3.2	#F1CE98	VOC
B.1.617.2	Delta	AY.3.3	#F1CE98	VOC
B.1.617.2	Delta	AY.3.4	#F1CE98	VOC
B.1.617.2	Delta	AY.30	#F1CE98	VOC
B.1.617.2	Delta	AY.31	#F1CE98	VOC
B.1.617.2	Delta	AY.32	#F1CE98	VOC
B.1.617.2	Delta	AY.33	#F1CE98	VOC
B.1.617.2	Delta	AY.33.1	#F1CE98	VOC
B.1.617.2	Delta	AY.33.2	#F1CE98	VOC
B.1.617.2	Delta	AY.34	#F1CE98	VOC
B.1.617.2	Delta	AY.34.1	#F1CE98	VOC
B.1.617.2	Delta	AY.34.1.1	#F1CE98	VOC
B.1.617.2	Delta	AY.34.2	#F1CE98	VOC
B.1.617.2	Delta	AY.35	#F1CE98	VOC
B.1.617.2	Delta	AY.36	#F1CE98	VOC
B.1.617.2	Delta	AY.36.1	#F1CE98	VOC
B.1.617.2	Delta	AY.37	#F1CE98	VOC
B.1.617.2	Delta	AY.38	#F1CE98	VOC
B.1.617.2	Delta	AY.39	#F1CE98	VOC
B.1.617.2	Delta	AY.39.1	#F1CE98	VOC
B.1.617.2	Delta	AY.39.1.1	#F1CE98	VOC
B.1.617.2	Delta	AY.39.1.2	#F1CE98	VOC
B.1.617.2	Delta	AY.39.1.3	#F1CE98	VOC
B.1.617.2	Delta	AY.39.1.4	#F1CE98	VOC
B.1.617.2	Delta	AY.39.2	#F1CE98	VOC
B.1.617.2	Delta	AY.39.3	#F1CE98	VOC
B.1.617.2	Delta	AY.4	#F1CE98	VOC
B.1.617.2	Delta	AY.4.1	#F1CE98	VOC
B.1.617.2	Delta	AY.4.10	#F1CE98	VOC
B.1.617.2	Delta	AY.4.11	#F1CE98	VOC
B.1.617.2	Delta	AY.4.12	#F1CE98	VOC
